Category,CategoryID,Icon,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,CorrectIndex,Explanation
Fundamental Rights,fundamental-rights,⚖️,medium,Under which article of the Constitution is the Right to Equality guaranteed?,Article 12,Article 14,Article 19,Article 21,1,Article 14 guarantees the right to equality before law and equal protection of laws. It applies to all persons not just citizens.
Fundamental Rights,fundamental-rights,⚖️,medium,Dr. B.R. Ambedkar described which article as the "heart and soul of the Constitution"?,Article 14,Article 19,Article 21,Article 32,3,Article 32 — the Right to Constitutional Remedies — was called the heart and soul of the Constitution by Dr. Ambedkar because it gives citizens the right to enforce their Fundamental Rights in the Supreme Court.
Fundamental Rights,fundamental-rights,⚖️,medium,Article 21 of the Constitution guarantees the right to:,Freedom of religion,Right to equality,Protection of life and personal liberty,Right to constitutional remedies,2,Article 21 states: No person shall be deprived of his life or personal liberty except according to procedure established by law. The Supreme Court has greatly expanded this right through judicial interpretation.
Fundamental Rights,fundamental-rights,⚖️,medium,Which article abolishes untouchability and makes its practice a punishable offence?,Article 15,Article 16,Article 17,Article 18,2,Article 17 abolishes untouchability in all forms. Enforcement of any disability arising from untouchability is an offence punishable under the Protection of Civil Rights Act 1955.
Fundamental Rights,fundamental-rights,⚖️,medium,The right to free and compulsory education for children aged 6 to 14 is guaranteed under:,Article 21,Article 21A,Article 45,Article 51A(k),1,Article 21A inserted by the 86th Constitutional Amendment (2002) makes free and compulsory education for children aged 6–14 a Fundamental Right. The Right to Education Act 2009 implements this right.
Fundamental Rights,fundamental-rights,⚖️,medium,Which of the following freedoms is NOT mentioned in Article 19(1)?,Freedom of speech and expression,Freedom to form cooperatives,Freedom to own property,Freedom to move freely throughout India,2,The right to own property was removed from Fundamental Rights by the 44th Amendment (1978) and is now a constitutional right under Article 300A. Article 19(1) contains six freedoms including speech assembly associations movement residence and profession.
Fundamental Rights,fundamental-rights,⚖️,medium,Against whom can Fundamental Rights be enforced?,Only the Central Government,Only State Governments,The State as defined in Article 12,Only Parliament,2,Fundamental Rights can be enforced against the State as defined in Article 12 which includes the Government and Parliament of India State governments and legislatures and all local and other authorities within the territory of India or under the control of the Government of India.
Fundamental Rights,fundamental-rights,⚖️,medium,The landmark case that transformed the interpretation of Article 21 by requiring procedure to be fair just and reasonable was:,A.K. Gopalan v. State of Madras (1950),Maneka Gandhi v. Union of India (1978),Kesavananda Bharati v. State of Kerala (1973),Minerva Mills v. Union of India (1980),1,Maneka Gandhi v. Union of India (1978) overruled the narrow interpretation in A.K. Gopalan. A 7-judge bench held that procedure under Article 21 must be fair just and reasonable and that Articles 14 19 and 21 are not mutually exclusive.
Preamble,preamble,📜,easy,Which words were added to the Preamble by the 42nd Constitutional Amendment (1976)?,Democratic and Republic,Socialist and Secular,Justice and Fraternity,Sovereign and Integrity,1,The 42nd Amendment (1976) added Socialist Secular and Integrity to the Preamble. The original Preamble described India as a Sovereign Democratic Republic.
Preamble,preamble,📜,easy,According to the Preamble the Constitution was adopted by the people of India on:,January 26 1950,August 15 1947,November 26 1949,December 9 1946,2,The Preamble states that the Constituent Assembly adopted enacted and gave to themselves the Constitution on November 26 1949. The Constitution came into force on January 26 1950.
Preamble,preamble,📜,easy,The Preamble secures to all citizens Justice in which three forms?,Legal Judicial and Executive,Social Economic and Political,Constitutional Legal and Natural,Civil Criminal and Administrative,1,The Preamble resolves to secure Social Economic and Political Justice to all citizens. This reflects the comprehensive vision of justice that encompasses all aspects of citizens lives.
Preamble,preamble,📜,easy,The Preamble is:,Not a part of the Constitution,A part of the Constitution and can be amended,Not a part of the Constitution but can be used to interpret it,A part of the Constitution but cannot be amended,1,In Kesavananda Bharati v. State of Kerala (1973) the Supreme Court held that the Preamble is a part of the Constitution and can be amended under Article 368 subject to the basic structure doctrine.
Preamble,preamble,📜,easy,India is described as a Republic in the Preamble because:,India has no Prime Minister,The head of state is elected not a hereditary monarch,India has a written Constitution,India has universal adult franchise,1,India is a Republic because its head of state — the President — is an elected official and not a hereditary monarch. This is in contrast to a monarchy like the United Kingdom where the head of state is a hereditary ruler.
Directive Principles,directive-principles,🏛️,medium,Directive Principles of State Policy are contained in which Part of the Constitution?,Part II,Part III,Part IV,Part IVA,2,Directive Principles of State Policy are contained in Part IV of the Constitution covering Articles 36 to 51. They are borrowed from the Irish Constitution and provide guidelines for state governance.
Directive Principles,directive-principles,🏛️,medium,Unlike Fundamental Rights Directive Principles are:,Justiciable,Enforceable in courts,Non-justiciable,Guaranteed to citizens only,2,Directive Principles are non-justiciable meaning courts cannot enforce them. However they are fundamental in the governance of the country (Article 37) and are important in shaping legislation and policy.
Directive Principles,directive-principles,🏛️,medium,Article 44 of the Constitution directs the State to secure a:,Universal adult franchise,Uniform Civil Code,Free compulsory education,Equal pay for equal work,1,Article 44 directs the State to endeavour to secure for the citizens a uniform civil code throughout the territory of India. This remains one of the most debated Directive Principles.
Directive Principles,directive-principles,🏛️,medium,The concept of equal pay for equal work is enshrined in which article?,Article 39(a),Article 39(d),Article 41,Article 43,1,Article 39(d) directs the State to ensure equal pay for equal work for both men and women. While not a Fundamental Right the Supreme Court has used it to interpret employment laws favorably.
Directive Principles,directive-principles,🏛️,medium,Which article directs the State to organise village panchayats and endow them with powers?,Article 38,Article 40,Article 43,Article 46,1,Article 40 directs the State to organise village panchayats and endow them with such powers and authority as may be necessary to enable them to function as units of self-government. The 73rd Amendment (1992) later gave constitutional status to Panchayati Raj.
Constitutional Amendments,amendments,📝,hard,Which Constitutional Amendment added the Tenth Schedule (Anti-Defection Law) to the Constitution?,42nd Amendment (1976),44th Amendment (1978),52nd Amendment (1985),73rd Amendment (1992),2,The 52nd Constitutional Amendment Act 1985 added the Tenth Schedule which contains the Anti-Defection Law. A member of Parliament or state legislature can be disqualified for defection by voluntarily giving up party membership or voting against the party whip.
Constitutional Amendments,amendments,📝,hard,The Goods and Services Tax (GST) was introduced by which Constitutional Amendment?,99th Amendment,100th Amendment,101st Amendment,102nd Amendment,2,The Constitution (One Hundred and First Amendment) Act 2016 introduced GST by inserting Articles 246A 269A and 279A. The GST Council was established under Article 279A as a joint forum of the Centre and States. GST came into force on July 1 2017.
Constitutional Amendments,amendments,📝,hard,Which amendment is known as the Mini Constitution due to the large number of changes it made?,24th Amendment 1971,42nd Amendment 1976,44th Amendment 1978,86th Amendment 2002,1,The 42nd Amendment Act 1976 — passed during the Emergency under Indira Gandhis government — is called the Mini Constitution because it made the most sweeping changes to the Constitution amending 53 articles and adding 13 new ones. Many changes were later reversed by the 44th Amendment.
Constitutional Amendments,amendments,📝,hard,The 10% reservation for Economically Weaker Sections (EWS) was introduced by the:,101st Amendment,102nd Amendment,103rd Amendment,104th Amendment,2,The Constitution (103rd Amendment) Act 2019 inserted clause (6) in Articles 15 and 16 to provide 10% reservation for EWS in educational institutions and public employment. The Supreme Court upheld it in a 3:2 majority in Janhit Abhiyan v. Union of India (2022).
Constitutional Amendments,amendments,📝,hard,Which amendment gave constitutional status to Panchayati Raj institutions?,70th Amendment,71st Amendment,72nd Amendment,73rd Amendment,3,The 73rd Constitutional Amendment (1992) added Part IX (Articles 243–243O) and the Eleventh Schedule to the Constitution giving constitutional status to Panchayati Raj institutions. It mandated gram panchayats elected bodies at three tiers and reservations for SC ST and women.
Constitutional Amendments,amendments,📝,hard,By which amendment was the Right to Property removed from the list of Fundamental Rights?,42nd Amendment 1976,44th Amendment 1978,45th Amendment 1980,46th Amendment 1982,1,The 44th Constitutional Amendment (1978) removed the Right to Property from Fundamental Rights by deleting Articles 19(1)(f) and 31. It was replaced by Article 300A which provides a constitutional right (not fundamental right) against deprivation of property except by authority of law.
Parliament & Legislature,parliament,🏟️,medium,A Money Bill can be introduced only in the:,Rajya Sabha,Lok Sabha,Either House,Joint Sitting,1,Under Article 109 a Money Bill (as defined in Article 110) can be introduced only in the Lok Sabha. The Rajya Sabha cannot amend or reject a Money Bill — it can only make recommendations which the Lok Sabha is free to accept or reject.
Parliament & Legislature,parliament,🏟️,medium,The maximum strength of the Rajya Sabha is:,200 members,230 members,245 members,250 members,3,Article 80 provides that the Rajya Sabha shall consist of not more than 250 members — 238 representing States and Union Territories and 12 nominated by the President for their expertise in art literature science and social service.
Parliament & Legislature,parliament,🏟️,medium,A joint sitting of both Houses of Parliament is presided over by:,The President of India,The Vice-President,The Speaker of the Lok Sabha,The Senior-most member,2,Article 118 and the Rules of Procedure provide that a joint sitting (called under Article 108) is presided over by the Speaker of the Lok Sabha. In the Speakers absence the Deputy Speaker of the Lok Sabha presides.
Parliament & Legislature,parliament,🏟️,medium,Which of the following bills CANNOT be referred to a Joint Sitting of Parliament?,An ordinary bill,A Constitution Amendment Bill,A financial bill other than Money Bill,A bill passed by one House and pending in the other,1,Article 108 which provides for joint sittings explicitly excludes Money Bills and Constitution Amendment Bills. Constitution Amendment Bills must be passed separately by each House with the required special majority.
Parliament & Legislature,parliament,🏟️,medium,The concept of zero hour in Parliament refers to:,Midnight session,Time immediately following Question Hour,First hour of parliamentary session,Emergency session of Parliament,1,Zero Hour is the time immediately following Question Hour (which ends at 12 noon). It is an informal device that allows members to raise matters of urgent public importance without prior notice. The term originated in Indian parliamentary practice.
Emergency Provisions,emergency,🚨,hard,A National Emergency can be proclaimed under Article 352 on which grounds?,Natural disaster or epidemic,War external aggression or armed rebellion,Failure of constitutional machinery in a state,Financial instability threatening Indias credit,1,Article 352 allows the President to proclaim a National Emergency if satisfied that the security of India or any part is threatened by (1) war (2) external aggression or (3) armed rebellion. The word armed rebellion replaced internal disturbance by the 44th Amendment (1978).
Emergency Provisions,emergency,🚨,hard,During a National Emergency the Fundamental Right that CANNOT be suspended is:,Article 19 (Freedoms),Article 21 (Right to Life),Article 22 (Protection against Arrest),Article 32 (Constitutional Remedies),1,Under Article 358 Article 19 freedoms can be suspended during a National Emergency. Under Article 359 the President can suspend the right to move courts for enforcement of Fundamental Rights (except Articles 20 and 21). Thus the rights under Articles 20 and 21 cannot be suspended even during a National Emergency.
Emergency Provisions,emergency,🚨,hard,Presidents Rule (State Emergency) is imposed under which article?,Article 352,Article 353,Article 355,Article 356,3,Article 356 provides for imposition of Presidents Rule when the President is satisfied on receipt of a Governors report or otherwise that the governance of a State cannot be carried on in accordance with the Constitution. Parliament must approve it within two months.
Emergency Provisions,emergency,🚨,hard,A Financial Emergency under Article 360 has been proclaimed in India:,Once in 1975,Twice in 1962 and 1971,Thrice in 1962 1971 and 1975,Never,3,A Financial Emergency under Article 360 has never been proclaimed in India since the Constitution came into force. The three National Emergencies proclaimed were in 1962 (Chinese aggression) 1971 (Pakistan war) and 1975 (internal disturbance).
Emergency Provisions,emergency,🚨,hard,The S.R. Bommai case (1994) is significant because the Supreme Court held that:,Financial Emergency can be imposed without Cabinet advice,Imposition of Presidents Rule under Article 356 is subject to judicial review,National Emergency can be extended indefinitely,Parliament cannot revoke a Proclamation of Emergency,1,In S.R. Bommai v. Union of India (1994) a 9-judge bench unanimously held that (1) the imposition of Presidents Rule is subject to judicial review (2) before imposing Presidents Rule the Centre must give the state government an opportunity to prove its majority on the floor of the House and (3) dissolution of the state assembly must not be immediate — it should be kept in abeyance until Parliament approves.
Judiciary,judiciary,🔏,medium,The original jurisdiction of the Supreme Court (Article 131) covers disputes between:,Citizens and the government,Two or more states,A state and foreign countries,Parliament and state legislatures,1,Article 131 confers original jurisdiction on the Supreme Court in disputes between (a) the Government of India and one or more states (b) the Government of India and states on one side and other states on the other and (c) two or more states. The dispute must involve a question of law or fact on which the existence or extent of a legal right depends.
Judiciary,judiciary,🔏,medium,The power of the Supreme Court to review its own judgments is called:,Appellate jurisdiction,Advisory jurisdiction,Review jurisdiction,Writ jurisdiction,2,Under Article 137 the Supreme Court has the power to review any judgment pronounced or order made by it. This review jurisdiction is limited — it can be exercised only on grounds mentioned in Order XLVII Rule 1 of the Supreme Court Rules.
Judiciary,judiciary,🔏,medium,Which article empowers the President to seek the advisory opinion of the Supreme Court?,Article 131,Article 133,Article 143,Article 145,2,Article 143 empowers the President to refer to the Supreme Court any question of law or fact of public importance for its advisory opinion. The Supreme Court may give its opinion. This advisory opinion is not binding but carries great authority.
Judiciary,judiciary,🔏,medium,The concept of curative petition in the Indian Supreme Court was evolved in:,Rupa Ashok Hurra v. Ashok Hurra (2002),Kesavananda Bharati case (1973),Vishaka v. State of Rajasthan (1997),NALSA v. Union of India (2014),0,In Rupa Ashok Hurra v. Ashok Hurra (2002) the Supreme Court evolved the concept of a curative petition — a remedy available after a review petition is dismissed to prevent miscarriage of justice. It can be filed on grounds of violation of principles of natural justice or bias of a judge.
Judiciary,judiciary,🔏,medium,High Courts in India have the power to issue writs under:,Article 32,Article 226,Article 227,Article 136,1,Article 226 empowers High Courts to issue writs including habeas corpus mandamus prohibition certiorari and quo warranto for enforcement of Fundamental Rights and for any other purpose. This is broader than the Supreme Courts writ jurisdiction under Article 32 which is limited to enforcement of Fundamental Rights only.
Mixed Challenge,mixed,🎲,mixed,The Constituent Assembly of India held its first session on:,August 15 1947,January 26 1950,December 9 1946,November 26 1949,2,The Constituent Assembly held its first session on December 9 1946 in New Delhi. Dr. Sachchidananda Sinha was the temporary (pro-tem) President. Dr. Rajendra Prasad was elected as the permanent President of the Assembly on December 11 1946.
Mixed Challenge,mixed,🎲,mixed,Which schedule of the Constitution lists the 22 official languages of India?,Sixth Schedule,Seventh Schedule,Eighth Schedule,Ninth Schedule,2,The Eighth Schedule of the Constitution lists the 22 officially recognised languages of India. Originally 14 languages were listed; the current 22 include Assamese Bengali Gujarati Hindi Kannada Kashmiri Konkani Maithili Malayalam Manipuri Marathi Nepali Odia Punjabi Sanskrit Santali Sindhi Tamil Telugu Urdu Bodo and Dogri.
Mixed Challenge,mixed,🎲,mixed,The Basic Structure Doctrine of the Indian Constitution was established in:,Golak Nath v. State of Punjab (1967),Kesavananda Bharati v. State of Kerala (1973),Indira Gandhi v. Raj Narain (1975),Minerva Mills v. Union of India (1980),1,In Kesavananda Bharati v. State of Kerala (1973) a 13-judge bench of the Supreme Court (by a 7:6 majority) established the Basic Structure Doctrine. It held that while Parliament has wide powers to amend the Constitution under Article 368 it cannot amend or destroy the basic structure or essential features of the Constitution.
Mixed Challenge,mixed,🎲,mixed,Which fundamental duty was added by the 86th Constitutional Amendment (2002)?,To protect and improve the natural environment,To safeguard public property,To provide opportunities for education to children aged 6-14,To develop scientific temper,2,The 86th Amendment (2002) added Article 51A(k) — making it the duty of every citizen who is a parent or guardian to provide opportunities for education to his child or ward between the age of six and fourteen years. This was added alongside Article 21A which made education a Fundamental Right.
Mixed Challenge,mixed,🎲,mixed,The Doctrine of Colourable Legislation in constitutional law means:,Legislation that uses colourful language,Legislation that is discriminatory on the basis of colour,When the legislature does indirectly what it cannot do directly,Legislation that violates the Preambles values,2,The Doctrine of Colourable Legislation (also called fraud on the Constitution) holds that what a legislature cannot do directly it cannot do indirectly either. If a legislature lacks competence to enact a law directly it cannot achieve the same result by giving the law a different colour or appearance.
Mixed Challenge,mixed,🎲,mixed,Article 368 deals with the power of Parliament to amend the Constitution. For most amendments which majority is required?,Simple majority of members present and voting,Absolute majority of total membership,Special majority: 2/3 of members present and voting AND absolute majority of total membership,Unanimous consent of all members,2,Article 368(2) requires that a Constitution Amendment Bill be passed in each House of Parliament by a special majority: (1) a majority of the total membership of that House AND (2) a majority of not less than two-thirds of the members of that House present and voting. Some amendments (affecting federal provisions) additionally require ratification by not less than half the state legislatures.
